,targetNumber,targetText
1971,1971,5.12.3 Sector Key Result Areas Table 5.12.5 Construction Sector SKRAs/KPIs GNH Pillars Sector Key Result Areas Key Performance Indicators Baseline Target Annual average contribution of construction to GDP 12.73% > 13 % No.
1972,1972,"Bhutanese employed in construction industry by gender 5000 10,000 % of houses constructed using modern technology while maintaining Bhutanese architect/aesthetics."
1973,1973,of standards made for standardized building components na 30% % of construction mechanized ethnology introduced na 50% % of eco-efficient/disaster resilient technologies na 50% No.
1974,1974,of water reservoirs 0 5 Percentage of rural pop with access to improved drinking water supply (%) 94.1% 100% No.
1975,1975,of flood preventive infrastructures in place na 13 No.
1976,1976,"of Bhutanese contractors qualifying for HPP bidding na 3 TAT for public service delivery reduced 70% Construction quality assurance (compliance with standards %) 100% National Anti-corruption strategy implemented 100% Average performance rating > 90 % CONSTRUCTION SECTOR - SKRAs/KPIs Eco-friendly/disaster resilient, innovative and good quality construction promoted Conservation & Sustainable Utilization and Management of Environment Effective and efficient public service delivery Strengthening Good Governance Contribution to GDP and employment opportunities created Sustainable and Equitable Socio- Economic Bhutanese architect and aesthetics in construction incorporated while adopting modern construction technology."
1977,1977,"Preservation and Promotion of Culture Key Objective -Enhance quality of construction industry through introduction of new energy efficient technology, mechanization and human resource/professional development."
1978,1978,"5.12.4 Strategies Training and capacity building of engineers, architects and other professionals in the construction sector will receive high priority in the Eleventh Plans Human Resource Development Master-plan."
1979,1979,C EN TR A L PL A N 05 52Construction Sector Diagnostic Study 2009 McKinsey & Company.
1980,1980,"216 Eleventh Five Year Plan - Main Document Volume I Mechanization of construction sector, use of local construction materials, centrally fixed rate contracts for some key materials (like cement, steel, bitumen etc.)"
1981,1981,will be pursued in order to avail institutional-buyer-discounts to reduce the cost of construction.
1982,1982,To encourage youth to work in the construction sector special service conditions such as job security and better wages will be explored.
1983,1983,Vocational training programmes will be aligned to the needs of construction industry and will include apprenticeships and on-the-job trainings.
1984,1984,Vocational training graduates will be encouraged to form their own construction firms and the government will provide necessary support for start-ups.
1985,1985,5.12.5 Key programmes Promotion and Strengthening of Construction Sector: The Construction Development Board (CDB) will concentrate on promoting efficient and quality based construction sector.
1986,1986,These will be carried out through awareness programs among the contractors and mechanization.
1987,1987,The benefits of creating an autonomous Construction Development Authority (CDA) to be able to discharge its roles and responsibilities efficiently will be explored.
1988,1988,"Engineering Adaptation and Disaster Risk Reduction: The major activities to be undertaken during the plan period are construction of flood protection walls and land reclamation along major flooding rivers, disaster risk assessment and mapping and development of guidelines and manuals."
1989,1989,Flood risk assessment and vulnerability mapping will also be carried out.
1990,1990,These are aimed to reduce the vulnerability of people and places to floods.
1991,1991,Technical support and management for infrastructure development and engineering services: The Department of Engineering Services will provide technical backstopping to all government agencies and Thromdes.
1992,1992,It will promote the construction of MICE facilities through PPP.
1993,1993,The construction of water reservoirs in water stressed towns will also be initiated.
1994,1994,The development of regional hubs and centers in eastern Bhutan to promote regional balanced development will be carried out.
1995,1995,Technical support for construction and maintenance of suspension bridges and mule tracks: There are still many communities who need trail suspension bridges as a principle means of transport.
1996,1996,The Department of Engineering Services (DES) will also initiate the construction of bazams and maintenance and technical backstopping for the construction of trail suspension bridges.
1997,1997,Programme details are presented in Eleventh Plan Volume II document.
1998,1998,"217 Eleventh Five Year Plan - Main Document Volume I 5.13 Human Settlement & Housing Sector Human Settlement: Until recently, the focus of this sector was mainly on urban development to meet the needs arising from the rising trends in rural-urban migration and rapid pace of urbanization, particularly in the two major towns of Thimphu and Phuentsholing."
1999,1999,"The Bhutan National Urbanization Strategy 2008 estimates that the average annual growth of urban population in Bhutan during 2000-2005 was 7.3 percent, with Thimphu city experiencing the highest growth at 12.6 percent."
2000,2000,"This rapid growth in urban population has created severe pressure on existing facilities leading to problems of water shortages, lack of sanitation and waste disposal facilities etc."
2001,2001,"To address these problems, a number of urban development programmes, particularly in Thimphu and Phuentsholing, have been implemented over the last decade."
2002,2002,"However, in spite of major infrastructure expansion, the rural-urban migration trend continues and urban centres continue to face difficulties in provision of urban services."
2003,2003,"Further, expansion of the existing services is also constrained by limited land availability in urban areas."
2004,2004,"In the meantime, large scale unplanned developments near urban areas are taking place."
2005,2005,"The Department of Human Settlement is responsible for preparation of human settlement policies, strategies and plans."
2006,2006,The main thrust of the human settlement sector will be to develop strategic human settlements with a focus on balanced regional development and improving the quality of life and socio economic status of both urban and rural residents.
2007,2007,"The main thrust of housing sector in the Eleventh Plan will be to provide safe, adequate and affordable housing to all and promote homeownership."
2008,2008,"Where feasible, participation of the private sector will be encouraged."
2009,2009,"5.13.1 Current Situation Human Settlement: Till recently, priority was accorded to planning and development of urban centres and not on human settlements."
2010,2010,"However, the emergence of C EN TR A L PL A N 05 218 Eleventh Five Year Plan - Main Document Volume I unplanned settlements near the urban areas is constraining urban expansions and provision of service facilities."
2011,2011,"Therefore, DHS was mandated to develop settlement plans that take into consideration the planning of an entire region."
2012,2012,"As of now, comprehensive human settlement plans do not exist, other than structural and local area plans for settlements classified as i) Class A Thromdes Thimphu, Phuentsholing, Gelephu and Samdrup Jongkhar; ii) Class B Thromdes Dzongkhag centre; and iii) Yenlag Throm."
2013,2013,"The criteria for various categories of towns are as follows: Class A Thromdes should have a resident population of more than 10,000 with population density of 1,000 persons or more per square kilometers."
2014,2014,The area should not be less than 5 square kilometers and should have revenue base sufficient to finance the establishment and maintenance of infrastructure and provision of services.
2015,2015,It should have a national administrative significance such as being the capital city or a town that services more than one Dzongkhag.
2016,2016,Class B Thomdes should have a resident population of more than 5000 with population density of 300 persons or more per square kilometers.
